Model,MDO4054-3
Firmware Version,2.10

Waveform Type,ANALOG
Point Format,Y
Horizontal Units,s
Horizontal Scale,0.02
Horizontal Delay,0.05978
Sample Interval,2e-05
Record Length,10000
Gating,0.0% to 100.0%
Probe Attenuation,1
Vertical Units,V
Vertical Offset,0
Vertical Scale,2
Vertical Position,-4.02
,
,
,
Label,
TIME,CH1
-3.0280e-02,14.84
-3.0260e-02,15.16
-3.0240e-02,15.08
-3.0220e-02,15.08
-3.0200e-02,14.84
-3.0180e-02,14.84
-3.0160e-02,15
-3.0140e-02,15.24
-3.0120e-02,15
-3.0100e-02,14.84
-3.0080e-02,14.84
-3.0060e-02,15.16
-3.0040e-02,15.24
-3.0020e-02,14.92
-3.0000e-02,14.84
-2.9980e-02,14.92
-2.9960e-02,15.08
-2.9940e-02,15.24
-2.9920e-02,15
-2.9900e-02,14.84
-2.9880e-02,14.92
-2.9860e-02,15.08
-2.9840e-02,15.4
-2.9820e-02,15.16
-2.9800e-02,14.84
-2.9780e-02,14.84
-2.9760e-02,15.16
-2.9740e-02,15.32
-2.9720e-02,15.08
-2.9700e-02,14.84
-2.9680e-02,14.84
-2.9660e-02,15.24
-2.9640e-02,15.24
-2.9620e-02,15
-2.9600e-02,14.68
-2.9580e-02,14.84
-2.9560e-02,14.92
-2.9540e-02,15.24
-2.9520e-02,15
-2.9500e-02,14.84
-2.9480e-02,14.84
-2.9460e-02,15.08
-2.9440e-02,15.24
-2.9420e-02,15.08
-2.9400e-02,14.84
-2.9380e-02,14.84
-2.9360e-02,15.08
-2.9340e-02,15.32
-2.9320e-02,15.16
-2.9300e-02,14.68
-2.9280e-02,14.92
-2.9260e-02,15.24
-2.9240e-02,15.24
-2.9220e-02,15.08
-2.9200e-02,14.92
-2.9180e-02,14.92
-2.9160e-02,15.08
-2.9140e-02,15.4
-2.9120e-02,15.08
-2.9100e-02,14.84
-2.9080e-02,14.84
-2.9060e-02,15.08
-2.9040e-02,15.24
-2.9020e-02,15.08
-2.9000e-02,14.76
-2.8980e-02,14.76
-2.8960e-02,15.08
-2.8940e-02,15.24
-2.8920e-02,15
-2.8900e-02,14.68
-2.8880e-02,14.92
-2.8860e-02,15.08
-2.8840e-02,15.24
-2.8820e-02,15.08
-2.8800e-02,14.76
-2.8780e-02,14.92
-2.8760e-02,15.08
-2.8740e-02,15.24
-2.8720e-02,15.24
-2.8700e-02,14.76
-2.8680e-02,14.92
-2.8660e-02,15.08
-2.8640e-02,15.16
-2.8620e-02,15.08
-2.8600e-02,14.84
-2.8580e-02,14.84
-2.8560e-02,15.16
-2.8540e-02,15.24
-2.8520e-02,15.16
-2.8500e-02,14.84
-2.8480e-02,14.84
-2.8460e-02,15.08
-2.8440e-02,15.24
-2.8420e-02,15
-2.8400e-02,14.68
-2.8380e-02,14.92
-2.8360e-02,15.16
-2.8340e-02,15.32
-2.8320e-02,15.16
-2.8300e-02,14.68
-2.8280e-02,14.92
-2.8260e-02,15.16
-2.8240e-02,15.24
-2.8220e-02,15.16
-2.8200e-02,14.76
-2.8180e-02,14.92
-2.8160e-02,15.16
-2.8140e-02,15.32
-2.8120e-02,15.16
-2.8100e-02,14.84
-2.8080e-02,14.92
-2.8060e-02,15.08
-2.8040e-02,15.4
-2.8020e-02,15.08
-2.8000e-02,14.76
-2.7980e-02,15
-2.7960e-02,15
-2.7940e-02,15.24
-2.7920e-02,15.08
-2.7900e-02,14.76
-2.7880e-02,14.84
-2.7860e-02,15.16
-2.7840e-02,15.4
-2.7820e-02,15.08
-2.7800e-02,14.68
-2.7780e-02,14.84
-2.7760e-02,15.16
-2.7740e-02,15.32
-2.7720e-02,15
-2.7700e-02,14.76
-2.7680e-02,14.76
-2.7660e-02,15.08
-2.7640e-02,15.24
-2.7620e-02,15.08
-2.7600e-02,14.84
-2.7580e-02,14.84
-2.7560e-02,15.16
-2.7540e-02,15.32
-2.7520e-02,15
-2.7500e-02,14.84
-2.7480e-02,14.84
-2.7460e-02,15.08
-2.7440e-02,15.24
-2.7420e-02,15.08
-2.7400e-02,14.68
-2.7380e-02,14.92
-2.7360e-02,15.24
-2.7340e-02,15.24
-2.7320e-02,15
-2.7300e-02,14.76
-2.7280e-02,14.92
-2.7260e-02,15.24
-2.7240e-02,15.24
-2.7220e-02,15.08
-2.7200e-02,14.84
-2.7180e-02,14.84
-2.7160e-02,15.16
-2.7140e-02,15.32
-2.7120e-02,15.16
-2.7100e-02,14.92
-2.7080e-02,14.84
-2.7060e-02,15.24
-2.7040e-02,15.24
-2.7020e-02,15.08
-2.7000e-02,14.76
-2.6980e-02,14.92
-2.6960e-02,15.16
-2.6940e-02,15.24
-2.6920e-02,15.08
-2.6900e-02,14.84
-2.6880e-02,14.84
-2.6860e-02,15.16
-2.6840e-02,15.16
-2.6820e-02,15
-2.6800e-02,14.84
-2.6780e-02,14.84
-2.6760e-02,15.08
-2.6740e-02,15.24
-2.6720e-02,15
-2.6700e-02,14.68
-2.6680e-02,14.76
-2.6660e-02,15.16
-2.6640e-02,15.24
-2.6620e-02,15.08
-2.6600e-02,14.76
-2.6580e-02,14.92
-2.6560e-02,15.08
-2.6540e-02,15.4
-2.6520e-02,15.16
-2.6500e-02,14.76
-2.6480e-02,14.92
-2.6460e-02,15.08
-2.6440e-02,15.24
-2.6420e-02,15.08
-2.6400e-02,14.76
-2.6380e-02,14.84
-2.6360e-02,15
-2.6340e-02,15.16
